source,pitch_std,mean_wpm
[앵커의 마침표]공권력 회복이 치안 회복 첫 걸음 ｜ 뉴스A [rfXg-oPV16E].wav,60.257,137.5115590509512
[앵커의 마침표]골든타임 놓치면 끝 ⧸ 채널A ⧸ 뉴스A [9vPaNg83zAs].wav,59.918,119.01359613740428
"[앵커의 마침표]계엄의 무게, 대통령은 답해야 ⧸ 채널A ⧸ 특집 뉴스A [iVat1uytGr8].wav",63.4,91.88192288396536
[앵커의 마침표]계산도 홍보도 엉터리 ｜ 뉴스A [fiIsS2-FqEM].wav,59.182,122.95412027596916
"[앵커의 마침표]경청하는 대통령, 그 약속 기억하길 ｜ 뉴스A [oxT1EkU-9os].wav",66.446,118.00780050742458
[앵커의 마침표]경제 간첩엔 무관용 ｜ 뉴스A [IP-GmMq60VU].wav,75.433,123.223477543514
[앵커의 마침표]결혼 장벽부터 낮춰야 ｜ 뉴스A [jZa-z5a-cCY].wav,60.375,140.4460493580975
[앵커의 마침표]겁 없는 무대책 ｜ 뉴스A [zbOArpEpSBc].wav,67.16,106.63603067514272
[앵커의 마침표]국민 잊은 만찬 ⧸ 채널A ⧸ 뉴스A [KXvbKKTz9S0].wav,66.99,137.22758144478277
[앵커의 마침표]국민 이기는 정치 없다 ｜ 뉴스A [PpuzI49YQKc].wav,61.369,120.6082978597754
[앵커의 마침표]국민 이기는 정치 없다 ｜ 뉴스A [6fWwOn2MpVM].wav,59.104,136.59114916873926
[앵커의 마침표]국민 없는 정치 ｜ 뉴스A [4eYkw5EPxjA].wav,49.424,107.47360411814871
[앵커의 마침표]국민 속인 경찰 ｜ 뉴스A [3VIRP4d7JUM].wav,65.9,121.61073774802044
[앵커의 마침표]국민 눈에 부끄럽지 않게 ｜ 뉴스A [g6MDIQ4upnY].wav,56.501,113.0418702264554
[앵커의 마침표]국민 건강이 먼저다 ｜ 뉴스A [BfOcB_tG0o8].wav,51.915,103.7889142223507
"[앵커의 마침표]국민의 일상, 국가가 지켜야 ｜ 뉴스A [0Kk680atnv8].wav",65.14,147.3058602023692
[앵커의 마침표]국민을 위한 정정당당한 경쟁 ｜ 뉴스A [JDAzPxZKFsQ].wav,65.787,119.224648555966
[앵커의 마침표]국민은 인질이 아니다 ｜ 뉴스A [Yk7dAJSVfAc].wav,61.004,140.26551988782052
[앵커의 마침표]국민보다 중요한 건 없다 ⧸ 채널A ⧸ 뉴스A [ZjOKIaugtyU].wav,58.617,147.61735566987548
[앵커의 마침표]국민만을 위한 예산안 ⧸ 채널A ⧸ 뉴스A [8jM-bsRJ_rQ].wav,62.968,110.70545390881146
[앵커의 마침표]국민 편안한 협치 ｜ 뉴스A [mjwO-u9ICZU].wav,63.698,97.26880918325476
[앵커의 마침표]권력 감시는 국민의 이익 ⧸ 채널A ⧸ 뉴스A [fSMTjbp4C9M].wav,72.91,149.83675450324847
"[앵커의 마침표]권력 감시, 예외는 없다 ｜ 뉴스A [N_jN5jVsPNw].wav",63.555,130.94486405146063
[앵커의 마침표]군주민수(君舟民水) ⧸ 채널A ⧸ 특집 뉴스A [hsdxM26c4dQ].wav,63.229,115.13979747259071
"[앵커의 마침표]국회만 예외, 무노동 무임금 ｜ 뉴스A [chQWPKlBacI].wav",72.384,340.2522219689505
[앵커의 마침표]국회가 탄핵감 ｜ 뉴스A [weLbnOJ_oQY].wav,73.214,124.0569714407036
[앵커의 마침표]국회 무관심도 공동책임 ｜ 뉴스A [3jMGEetnae4].wav,63.614,137.98735323756827
[앵커의 마침표]국정이 멈춘 날 ⧸ 채널A ⧸ 특집 뉴스A [5KkNYNB7c0Y].wav,58.135,156.6033425465551
[앵커의 마침표]국정보다 총선 ｜ 뉴스A [jchGrQcDgQg].wav,64.32,152.37671068808535
"[앵커의 마침표]국정 쇄신, 그 약속 지킬 때 ⧸ 채널A ⧸ 뉴스A [a015PSZSVLI].wav",69.241,131.32591256752715
[앵커의 마침표]국정 반전을 기대한다 ⧸ 채널A ⧸ 뉴스A [vuBM6wlivYU].wav,76.869,159.31898926619755
[앵커의 마침표]국민이 느낄 수 있게 ｜ 뉴스A [fWtCECVx-A4].wav,66.044,117.377777033854
[앵커의 마침표]국민이 납득해야 끝난다 ⧸ 채널A ⧸ 뉴스A [msqeK-PgZJ4].wav,71.348,87.54373556322977
[앵커의 마침표]날 풀리고 양심도 풀렸다 ｜ 뉴스A [Kxgjq2XfwTM].wav,61.071,109.01457279107495
"[앵커의 마침표]나의 선택, 대한민국을 바꾼다 ｜ 뉴스A [Dy7uQct7-HA].wav",69.484,131.16954152702206
[앵커의 마침표]나부터 혁신 ｜ 뉴스A [KrZuXsKxjnw].wav,66.081,145.50325402297585
[앵커의 마침표]나라가 멈춰선 안 된다 ⧸ 채널A ⧸ 특집 뉴스A [itDzPVpKRjw].wav,53.62,106.97090630188164
[앵커의 마침표]끝없는 비상 ⧸ 채널A ⧸ 뉴스A [41u6pE8SBSc].wav,57.653,147.72698840117812
[앵커의 마침표]꽃보다 아름다운 새출발 ｜ 뉴스A [Ianh8Pj_qGg].wav,66.251,123.65305678958823
[앵커의 마침표]꼼꼼하게 준비해서 적재적소에 ⧸ 채널A ⧸ 뉴스A [AQazOWDMz7M].wav,55.396,144.31205713864017
[앵커의 마침표]까딱하면 당합니다 ｜ 뉴스A [oR1IazGkDJY].wav,56.876,145.44197304025184
[앵커의 마침표]기본과 원칙 철저히 ⧸ 채널A ⧸ 특집 뉴스A [AMPfMc_7lCY].wav,60.581,130.76982249696871
[앵커의 마침표]기다릴 여유 없다 ⧸ 채널A ⧸ 특집 뉴스A [mZFP5O72TZA].wav,49.405,165.33514774595812
"[앵커의 마침표]그런 세상, 과연 행복할까요？ ｜ 뉴스A [hnLilzrxrd4].wav",64.928,103.90883145235316
[앵커의 마침표]그들만의 싸움 ｜ 뉴스A [NCv0X3wd1pk].wav,62.394,133.99527716317635
[앵커의 마침표]그 누구보다 큰 울림 ｜ 뉴스A [44kq31bfDe0].wav,52.152,100.40237293299508
[앵커의 마침표]뉴스만 봤어도 ｜ 뉴스A [44eGrgxHvng].wav,65.432,139.70768362396973
[앵커의 마침표]눈칫밥 없이 한 끼 먹도록 ｜ 뉴스A [FqdgBpVcBRM].wav,63.755,120.5613586887207
[앵커의 마침표]누구를 위한 개정인가？ ｜ 뉴스A [5jMhjmJPupM].wav,67.915,115.9042230145626
